date,open,high,low,close,volume,symbol,name
2022-07-25 13:00:00,288.51,288.78,286.31,288,1417745,BRK.B,Berkshire Hathaway Class B
2022-07-22 13:00:00,286.3,286.39,283.615,285.72,1319874,BRK.B,Berkshire Hathaway Class B
2022-07-21 13:00:00,285.66,287.24,284.37,286.5,1566996,BRK.B,Berkshire Hathaway Class B
2022-07-20 13:00:00,285.27,286.4,284.18,286.04,1251333,BRK.B,Berkshire Hathaway Class B
2022-07-19 13:00:00,282.01,284.2111,281.37,284.2111,1657237,BRK.B,Berkshire Hathaway Class B
2022-07-18 13:00:00,278.2,279.08,275.21,276.46,1282705,BRK.B,Berkshire Hathaway Class B
2022-07-15 13:00:00,278.19,279.06,277.36,278.55,1890584,BRK.B,Berkshire Hathaway Class B
2022-07-14 13:00:00,272.14,275.4882,271.6,274.25,1659292,BRK.B,Berkshire Hathaway Class B
2022-07-13 13:00:00,279.36,280.09,276.76,277.25,1493225,BRK.B,Berkshire Hathaway Class B
2022-07-12 13:00:00,281.95,282.07,276.99,277.25,1258774,BRK.B,Berkshire Hathaway Class B
2022-07-11 13:00:00,279.215,280.46,277.93,278.51,1144815,BRK.B,Berkshire Hathaway Class B
2022-07-08 13:00:00,280.94,282.61,280.36,280.85,1130454,BRK.B,Berkshire Hathaway Class B
2022-07-07 13:00:00,277.8922,279.37,277.1,279.1,1348795,BRK.B,Berkshire Hathaway Class B
2022-07-06 13:00:00,273.3526,277.51,272.94,275.85,1421019,BRK.B,Berkshire Hathaway Class B
2022-07-05 13:00:00,272.53,275.86,272.28,275.6901,1432331,BRK.B,Berkshire Hathaway Class B
2022-07-01 13:00:00,274.45,278.4,274.1594,277.5,1461666,BRK.B,Berkshire Hathaway Class B
2022-06-30 13:00:00,274.47,274.92,271.14,272.54,1907748,BRK.B,Berkshire Hathaway Class B
2022-06-29 13:00:00,273.5,275.24,272.97,273.6,1249798,BRK.B,Berkshire Hathaway Class B
2022-06-28 13:00:00,276.46,276.8735,273.5065,273.86,1349476,BRK.B,Berkshire Hathaway Class B
2022-06-27 13:00:00,280.76,280.86,277.82,278.7,1444429,BRK.B,Berkshire Hathaway Class B
2022-06-24 13:00:00,277.0401,279.5,276.52,278.19,2192218,BRK.B,Berkshire Hathaway Class B
2022-06-23 13:00:00,264.2,267.89,264.01,267.3971,1901474,BRK.B,Berkshire Hathaway Class B
2022-06-22 13:00:00,271.1096,273.395,269.34,269.78,1688495,BRK.B,Berkshire Hathaway Class B
2022-06-21 13:00:00,271,272.48,270.375,271.71,1796370,BRK.B,Berkshire Hathaway Class B
2022-06-17 13:00:00,267.3,270.5,267.14,268.4,3688807,BRK.B,Berkshire Hathaway Class B
2022-06-16 13:00:00,269.515,270.28,266.88,269,3206660,BRK.B,Berkshire Hathaway Class B
2022-06-15 13:00:00,276.45,282.009,273.87,279.0099,3001491,BRK.B,Berkshire Hathaway Class B
2022-06-14 13:00:00,278.58,280.27,276.1014,277.898,2723172,BRK.B,Berkshire Hathaway Class B
2022-06-13 13:00:00,285.2776,286.41,280.1,281.73,3157788,BRK.B,Berkshire Hathaway Class B
2022-06-10 13:00:00,292.76,295.2,291.61,292.48,2251023,BRK.B,Berkshire Hathaway Class B
2022-06-09 13:00:00,306.79,307.184,300.57,300.8,1642761,BRK.B,Berkshire Hathaway Class B
2022-06-08 13:00:00,309.91,309.91,307.93,308.99,1153271,BRK.B,Berkshire Hathaway Class B
2022-06-07 13:00:00,311.7817,313.79,311.66,313,987432,BRK.B,Berkshire Hathaway Class B
2022-06-06 13:00:00,312.18,312.97,311.48,312,900706,BRK.B,Berkshire Hathaway Class B
